,Message,Length
18414,"""my code""",9
18415,pls kys,7
18416,dumb,4
18417,im the big dog here,19
18418,lmafo,5
18419,that skidded shit who used my identity setter,45
18420,only armandukx,14
18421,sssssssthedev didnt help',25
18422,he's trying to skid leaked misery source,40
18423,dont spoonfeed,14
18424,you gotta reverse shuffles to do newthread,42
18425,Oh.,3
18426,it's inlined,12
18427,as in lua_newthread?,20
18428,Address i meant.,16
18429,"Hello, i was wondering if how do i get NewThread Offset",55
18430,Ill check it out.,17
18431,but you can at least look at their methods and figure out what they're doing then see if u can apply the same methods to whatever ur dealing with,145
18432,first google result,19
18433,idk if this is any good,23
18434,Anyone got a bypass for it or know how to go about reversing it?,64
18435,"Yeh it uses a VM, just don't know how to reverse engineer it",60
18436,rawr,4
18437,Yeah it's virtualized,21
18438,"That was at the top of the script, but I left it out, sorry about that lol",74
18439,V14,3
18440,Its obfuscated by Luraph,24
18441,its been so long i cant identify it right but i know this is def some public obfuscator,87
18442,either ironbrew or 77,21
18443,it looks like a known obfuscator,32
18444,maybe it's some kind of VM and the encrypted string is some kind of bytecode?,77
18445,not sure what obfuscator that is but you can probably crack it with some work,77
18446,"Not sure what it's doing tbh, so I tried to decrypt it.",55
18447,I can give the whole code so you can check it out.,50
18448,"Not sure honestly, it makes requests to other files.",52
18449,You can just RE the decryptor if this is decrypted locally,58
18450,But is it decrypted locally or through a server?,48
18451,(The part given was a string),29
18452,"As the part is also being passed as a function, I am trying to understand what it is for.",89
18453,"For context this is a lua script, which I am decrypting.",56
18454,But this one section is encrypted.,34
18455,Most of the code prior to that was encoded to hexadecimals.,59
18456,and decrypts it locally,23
18457,unless the exe is signed,24
18458,"could be, but pointless to make it that big if you're verifying with an external server",87
18459,"I am trying to understand how the encryption works as it is run by a third party program, which I can find no public bypass for.",128
18460,"No, what I mean by keys is that the keys are being used for verification of purchase for example.",97
18461,and there is no encryption algo that I know of that takes keys that are a 3rd of a megabyte,91
18462,you cant tell what it is because majority of modern encryption algorithms represent the encrypted content in a base 16 string,125
18463,"Which implies you know, otherwise you would not respond.",56
18464,Ok thanks for your feedback.\n\nIf you would care to explain what it is I would be happy to know as you informed me I am wrong.,127
18465,gang this is so real,20
18466,-> know nothing\n-> claim it was ragebait,41
18467,yikes no1 skid comeback,23
18468,rage bait 1/10,14
18469,this is way too funny,21
18470,☠️ ☠️ ☠️ ☠️ ☠️ ☠️ ☠️ ☠️ ☠️,26
18471,because that encryption method does use special characters,58
18472,"tell me once again, why does it not look like aes",49
18473,☠️ ☠️ ☠️ ☠️ ☠️,14
18474,are you actually fucking stupid,31
18475,ok tell me which ones were correct,34
18476,a bit more,10
18477,only one was,12
18478,so what’s the problem,21
18479,but most of my statements were correct,38
18480,dont yap abt something you know nothing abt,43
18481,so tell me why it cant use special chars?,41
18482,symmetric encryption method,27
18483,do you know what aes is,23
18484,that’s why it’s not aes,23
18485,aes doesn’t use special characters,34
18486,No dumbass,10
18487,what does aes look like,23
18488,ok then tell me,15
18489,that doesn’t even look like aes,31
18490,I dont think either one of you know what you're yapping abt,59
18491,that’s a good question,22
18492,how did you come to the conclusion that its aes,47
18493,and some other said it was using a shitty encryptor,51
18494,holy skid party,15
18495,someone said it was aes,23
18496,or some shitty encryptor,24
18497,yeah o heard it was aes,23
18498,or did you just ask gpt,23
18499,do you know what you're talking abt?,36
18500,holy skid,9
18501,"Nvm, I think its encrypted with AES, I assume it's a key or something",69
18502,+ the functions you need to set a protos capabilities,53
18503,You can find identity and capabilities in loadstring,52
18504,its in int not hex,18
18505,48 is not identity,18
18506,that makes no sense wtf,23
18507,By any chance would anyone know what encryption this is?,56
18508,Anyone know an api for Roblox executors😍,40
18509,I am trying to deobfuscate a script which has a lot of hexadecimal values in it\nHow would I go about streamlining it to find all hexadecimals and replace it with numbers?,171
18510,hlep,4
18511,YOu,3
18512,FUCK,4
18513,GG.,3
18514,if not u learn,14
18515,ur intuition will give u the answer,35
18516,check again,11
18517,Im gonna be honest i didnt read what u asked,44
18518,spoonfeed me,12
18519,Shut the fuck up nigger,23
18520,1€ for sale,11
18521,temu slave,10
18522,where did you buy this guy from,31
18523,worst slave,11
18524,not spoonfeed you sped,22
18525,its called teach me,19
18526,Kidding let me check,20
18527,Airplane me,11
18528,Spoonfeed me gooo goo ga ga,27
18529,Check again,11
18530,Nothing,7
18531,What have you found,19
18532,not to say n word,17
18533,"we trained you better, we whiped you every morning to work harder and efficent",78
18534,im ur daddy,11
18535,learn how to respect your masters,33
18536,fat bitch,9
18537,because you can't talk to your masters like that,48
18538,He needs to first apologize,27
18539,n word is not tolerated,23
18540,apologize for what you said,27
18541,By any chance have you checked,30
18542,smart nigga help,16
18543,id assume they're the same hting,32
18544,theres script and basescript,28
18545,wtf is basescript,17
18546,"why is script a deleter2instance, you can't access them anyways",63
18547,48 is identity correct,22
18548,calm,4
18549,search up rot13,15
18550,Il lrape ur tight ass,21
18551,Negro,5
18552,I don't say the n word to prove a point,39
18553,In Assembvly Nigger,19
18554,Clasnh of code,14
18555,biggest skid,12
18556,smart nigga,11
18557,dirty slut,10
18558,gargle on my semen,18
18559,n n,3
18560,jew,3
18561,cant you read too?,18
18562,are you also?,13
18563,actually,8
18564,but its a good idea,19
18565,first step to do is change ur shitty language to english,56
18566,looks like nigger shit,22
18567,thjings,7
18568,why r these,11
18569,becasue of its shit memory managment,36
18570,it would like literally use 4 gb of ram,39
18571,nah but like,12
18572,That's like half a compiler,27
18573,I once wrote a luau parser in python,36
18574,luau rewrite in python,22
18575,Luau rewrite in k&r c would go hard tho,39
18576,but probably one by one but idk,31
18577,because feeding it the whole luau compiler wouldnt work because of max input tokens,83
18578,but idk how that works,22
18579,the only method i know is ai,28
18580,Idk about this,14
18581,With some caveats,17
18582,This exists,11
18583,only if there is one,20
18584,and then c to brainfuck,23
18585,translator,10
18586,you could do c++ to c,21
18587,you dont have to completely rewrite it,38
18588,Then just run some post processing to break up chains of instructions and the source is as good as lost,103
18589,"If I rewrite the Luau compiler in C, I can use a C->brainfuck compiler and have my code basically obfuscated past recovery",122
18590,and then unbeatify to make it actually work,43
18591,to have  lines works,20
18592,Ud for 1 day before patched by nemi,35
18593,but can you like beatify stuff in brainfuck,43
18594,intense,7
18595,Gonna write an open source lvl8 executor in brainfuck.,54
18596,WTF IS THIS PHP,15
18597,tell me its not python while telling me its not phython,55
18598,"Wrong. Most implementations of libc have puts, but it's not a native C feature.",79
18599,And compare it,14
18600,Look at python,14
18601,just change the keyword lol,27
18602,Doesnt look like its doing a good job,37
18603,idk how they can fail so badly,30
18604,like lua,8
18605,but ruby is mainly focused on being super simple,48
18606,C has puts,10
18607,"and they call themself ""simple""",31
18608,they use puts instead of using simple stuff like print,54
18609,Yet its always included in programming content fornaome rrason,62
18610,ruby is just another lua knockoff,33
18611,No one,6
18612,for daily basis programming,27
18613,who actually fucking uses ruby,30
18614,what is ruby even used for,26
18615,just behind all of these languages:\npowershell\nruby\nbatch,60
18616,I am javaphobic but without the aggressiveness if yk what i mean,64
18617,java might be one of the worst languages,40
18618,It scares me,12
18619,nobody likes java,17
18620,Please do not talk about java,29
18621,java has arraylist class and its like a dynamic array and it works like std::vector,83
18622,And thats basically it,22
18623,Like vector,11
18624,ok and maybe some other things that make it comfy,49
18625,thats just not the single thing,31
18626,Lets admit it we just prefer c++ because it has ::,50
18627,true c programmer ❤️,20
18628,I'm a C programista at heart,28
18629,I deadass don't use fancy C++ features ever,43
18630,I know the c++ without the goofy shit,37
18631,I do knlw c++,13
18632,but like how,12
18633,i mean it is possible,21
18634,how can you know rust without knowing c++,41
18635,Real ones use K&R C with -pedantic,34
18636,How am i a skid for using rust,30
18637,(while not knowing basic c++),29
18638,Rust is wild,12
18639,ultimate skid,13
18640,Anyways,7
18641,I use rust,10
18642,Imagine you have structs with members,37
18643,Ok idc,6
18644,It's less clear when u use uintptr_t for everything,51
18645,With uintptr_t,14
18646,Bc it should be the same,24
18647,Void pointers are fire,22
18648,What does that have to do with anything,39
18649,Ok what if its a pointer to void,32
18650,Especially when you have structs,32
18652,Roblox wouldnt even been there to begin with,44
18653,Just import stdint and use uintX_t,34
18654,An unsigned long long can deadass be 8 bits wide on some architectures,70
18655,For portable code,17
18656,Yeah don't use that,19
18657,The goat,8
18658,Unsigned long long,18
18659,Yes my beloved,14
18660,unsigned long long ❤️,21
18661,"I can make every variable a uintptr_t and my code would work fine with minimal changes, but it will be a pain in the ass to read",128
18662,I dont rlly care,16
18663,It's clearer when your code uses actual types,45
18664,and uintptr_t is mainly used for storing and manipulating memory addresses as unsigned integers,95
18665,so uw ant to specify the type,29
18666,Have fun,8
18667,because its an integer type and if you use it for pointers it can possibly reduce type safety,93
18668,__int64 has the same size of a pointer,38
18669,Ok idc to argue with skids,26
18670,Your code becomes clearer if you use the pointer syntactic sugar,64
18671,Ok say you have a pointer pointing to some internal structure,61
18672,That's retarded,15
18673,use uintptr_t,13
18674,why would u need that,21
18675,Whether you can deref it within your own virtual memory doesn't make it more of a pointer,89
18676,So a uint8_t* becomes 64bits wide on 64bit processors,53
18677,Scales ur variable up to whatever bitage ur compiling to,56
18678,Adding `*` is just syntactic sugar to tell the compiler it's a pointer,70
18679,whyd u call me out,18
18680,I don't get your point,22
18681,notice the * in _QWORD*,23
18682,and did u say qword pointer with the * is for externals or not,62
